parameter,display_name,target_lcoe_gbp_per_mwh,feasible,best_lcoe_in_range_gbp_per_mwh,threshold_value
space_hardware_replacement_rate_per_year,Space-hardware replacement rate,120,True,81.9529420782113,0.03
space_hardware_replacement_rate_per_year,Space-hardware replacement rate,100,True,81.9529420782113,0.0265606755590238
space_hardware_replacement_rate_per_year,Space-hardware replacement rate,80,False,81.9529420782113,
space_hardware_replacement_rate_per_year,Space-hardware replacement rate,60,False,81.9529420782113,
ground_hardware_replacement_rate_per_year,Ground-hardware replacement rate,150,True,85.9297727744616,0.02
ground_hardware_replacement_rate_per_year,Ground-hardware replacement rate,120,True,85.9297727744616,0.02
ground_hardware_replacement_rate_per_year,Ground-hardware replacement rate,100,True,85.9297727744616,0.02
ground_hardware_replacement_rate_per_year,Ground-hardware replacement rate,80,False,85.9297727744616,
ground_hardware_replacement_rate_per_year,Ground-hardware replacement rate,60,False,85.9297727744616,
fixed_opex_fraction_of_eligible_assets_per_year,Fixed O&M rate,150,True,84.5924604209991,0.05
fixed_opex_fraction_of_eligible_assets_per_year,Fixed O&M rate,120,True,84.5924604209991,0.05
fixed_opex_fraction_of_eligible_assets_per_year,Fixed O&M rate,100,True,84.5924604209991,0.05
fixed_opex_fraction_of_eligible_assets_per_year,Fixed O&M rate,80,False,84.5924604209991,
fixed_opex_fraction_of_eligible_assets_per_year,Fixed O&M rate,60,False,84.5924604209991,
variable_opex_gbp_per_mwh,Variable O&M,150,True,83.0297339990382,20
variable_opex_gbp_per_mwh,Variable O&M,120,True,83.0297339990382,20
variable_opex_gbp_per_mwh,Variable O&M,100,True,83.0297339990382,16.9702660009618
variable_opex_gbp_per_mwh,Variable O&M,80,False,83.0297339990382,
variable_opex_gbp_per_mwh,Variable O&M,60,False,83.0297339990382,
decommissioning_cost_fraction_initial_capex,Terminal decommissioning cost,150,True,85.8316803445554,0.2
decommissioning_cost_fraction_initial_capex,Terminal decommissioning cost,120,True,85.8316803445554,0.2
decommissioning_cost_fraction_initial_capex,Terminal decommissioning cost,100,True,85.8316803445554,0.2
decommissioning_cost_fraction_initial_capex,Terminal decommissioning cost,80,False,85.8316803445554,
decommissioning_cost_fraction_initial_capex,Terminal decommissioning cost,60,False,85.8316803445554,
residual_value_fraction_initial_capex,Terminal residual value,150,True,84.0491974542102,0
residual_value_fraction_initial_capex,Terminal residual value,120,True,84.0491974542102,0
residual_value_fraction_initial_capex,Terminal residual value,100,True,84.0491974542102,0
residual_value_fraction_initial_capex,Terminal residual value,80,False,84.0491974542102,
residual_value_fraction_initial_capex,Terminal residual value,60,False,84.0491974542102,
