x_parameter,x_value,y_parameter,y_value,lcoe_gbp_per_mwh
launch_cost_gbp_per_kg,188.8135593220339,end_to_end_efficiency,0.06525423728813559,642.2617962907495
launch_cost_gbp_per_kg,273.22033898305085,end_to_end_efficiency,0.06525423728813559,733.3953752080309
launch_cost_gbp_per_kg,357.6271186440678,end_to_end_efficiency,0.06525423728813559,824.5289541253123
launch_cost_gbp_per_kg,442.0338983050848,end_to_end_efficiency,0.06525423728813559,915.6625330425939
launch_cost_gbp_per_kg,526.4406779661017,end_to_end_efficiency,0.06525423728813559,1006.7961119598751
launch_cost_gbp_per_kg,610.8474576271187,end_to_end_efficiency,0.06525423728813559,1097.9296908771564
launch_cost_gbp_per_kg,695.2542372881356,end_to_end_efficiency,0.06525423728813559,1189.063269794438
launch_cost_gbp_per_kg,779.6610169491526,end_to_end_efficiency,0.06525423728813559,1280.1968487117192
launch_cost_gbp_per_kg,864.0677966101696,end_to_end_efficiency,0.06525423728813559,1371.3304276290007
launch_cost_gbp_per_kg,948.4745762711865,end_to_end_efficiency,0.06525423728813559,1462.4640065462818
launch_cost_gbp_per_kg,1032.8813559322034,end_to_end_efficiency,0.06525423728813559,1553.5975854635635
launch_cost_gbp_per_kg,1117.2881355932204,end_to_end_efficiency,0.06525423728813559,1644.731164380845
launch_cost_gbp_per_kg,1201.6949152542375,end_to_end_efficiency,0.06525423728813559,1735.8647432981265
launch_cost_gbp_per_kg,1286.1016949152543,end_to_end_efficiency,0.06525423728813559,1826.9983222154074
launch_cost_gbp_per_kg,1370.5084745762713,end_to_end_efficiency,0.06525423728813559,1918.1319011326889
launch_cost_gbp_per_kg,1454.9152542372883,end_to_end_efficiency,0.06525423728813559,2009.2654800499704
launch_cost_gbp_per_kg,1539.322033898305,end_to_end_efficiency,0.06525423728813559,2100.399058967252
launch_cost_gbp_per_kg,1623.7288135593221,end_to_end_efficiency,0.06525423728813559,2191.5326378845334
launch_cost_gbp_per_kg,1708.1355932203392,end_to_end_efficiency,0.06525423728813559,2282.6662168018147
launch_cost_gbp_per_kg,1792.542372881356,end_to_end_efficiency,0.06525423728813559,2373.799795719096
launch_cost_gbp_per_kg,1876.949152542373,end_to_end_efficiency,0.06525423728813559,2464.9333746363777
launch_cost_gbp_per_kg,1961.35593220339,end_to_end_efficiency,0.06525423728813559,2556.0669535536585
launch_cost_gbp_per_kg,2045.7627118644068,end_to_end_efficiency,0.06525423728813559,2647.2005324709403
launch_cost_gbp_per_kg,2130.169491525424,end_to_end_efficiency,0.06525423728813559,2738.3341113882216
launch_cost_gbp_per_kg,2214.576271186441,end_to_end_efficiency,0.06525423728813559,2829.4676903055033
launch_cost_gbp_per_kg,2298.983050847458,end_to_end_efficiency,0.06525423728813559,2920.601269222785
launch_cost_gbp_per_kg,2383.389830508475,end_to_end_efficiency,0.06525423728813559,3011.734848140066
launch_cost_gbp_per_kg,2467.7966101694915,end_to_end_efficiency,0.06525423728813559,3102.868427057347
launch_cost_gbp_per_kg,2552.2033898305085,end_to_end_efficiency,0.06525423728813559,3194.0020059746284
launch_cost_gbp_per_kg,2636.6101694915255,end_to_end_efficiency,0.06525423728813559,3285.13558489191
launch_cost_gbp_per_kg,2721.0169491525426,end_to_end_efficiency,0.06525423728813559,3376.2691638091915
launch_cost_gbp_per_kg,2805.4237288135596,end_to_end_efficiency,0.06525423728813559,3467.4027427264728
launch_cost_gbp_per_kg,2889.8305084745766,end_to_end_efficiency,0.06525423728813559,3558.536321643755
launch_cost_gbp_per_kg,2974.2372881355936,end_to_end_efficiency,0.06525423728813559,3649.669900561036
launch_cost_gbp_per_kg,3058.64406779661,end_to_end_efficiency,0.06525423728813559,3740.803479478317
launch_cost_gbp_per_kg,3143.0508474576272,end_to_end_efficiency,0.06525423728813559,3831.937058395599
launch_cost_gbp_per_kg,3227.4576271186443,end_to_end_efficiency,0.06525423728813559,3923.0706373128805
launch_cost_gbp_per_kg,3311.8644067796613,end_to_end_efficiency,0.06525423728813559,4014.204216230162
launch_cost_gbp_per_kg,3396.2711864406783,end_to_end_efficiency,0.06525423728813559,4105.337795147443
launch_cost_gbp_per_kg,3480.6779661016953,end_to_end_efficiency,0.06525423728813559,4196.471374064725
launch_cost_gbp_per_kg,3565.084745762712,end_to_end_efficiency,0.06525423728813559,4287.604952982005
launch_cost_gbp_per_kg,3649.491525423729,end_to_end_efficiency,0.06525423728813559,4378.7385318992865
launch_cost_gbp_per_kg,3733.898305084746,end_to_end_efficiency,0.06525423728813559,4469.872110816567
launch_cost_gbp_per_kg,3818.305084745763,end_to_end_efficiency,0.06525423728813559,4561.005689733849
launch_cost_gbp_per_kg,3902.71186440678,end_to_end_efficiency,0.06525423728813559,4652.139268651131
launch_cost_gbp_per_kg,3987.118644067797,end_to_end_efficiency,0.06525423728813559,4743.2728475684125
launch_cost_gbp_per_kg,4071.5254237288136,end_to_end_efficiency,0.06525423728813559,4834.406426485693
launch_cost_gbp_per_kg,4155.932203389831,end_to_end_efficiency,0.06525423728813559,4925.540005402975
launch_cost_gbp_per_kg,4240.338983050848,end_to_end_efficiency,0.06525423728813559,5016.673584320256
launch_cost_gbp_per_kg,4324.745762711865,end_to_end_efficiency,0.06525423728813559,5107.807163237539
launch_cost_gbp_per_kg,4409.152542372882,end_to_end_efficiency,0.06525423728813559,5198.940742154819
launch_cost_gbp_per_kg,4493.559322033899,end_to_end_efficiency,0.06525423728813559,5290.074321072101
launch_cost_gbp_per_kg,4577.966101694916,end_to_end_efficiency,0.06525423728813559,5381.207899989382
launch_cost_gbp_per_kg,4662.372881355933,end_to_end_efficiency,0.06525423728813559,5472.341478906664
launch_cost_gbp_per_kg,4746.77966101695,end_to_end_efficiency,0.06525423728813559,5563.4750578239455
launch_cost_gbp_per_kg,4831.186440677967,end_to_end_efficiency,0.06525423728813559,5654.608636741227
launch_cost_gbp_per_kg,4915.593220338983,end_to_end_efficiency,0.06525423728813559,5745.742215658506
launch_cost_gbp_per_kg,5000.0,end_to_end_efficiency,0.06525423728813559,5836.875794575789
launch_cost_gbp_per_kg,20.0,end_to_end_efficiency,0.07033898305084746,427.21353690922433
launch_cost_gbp_per_kg,104.40677966101696,end_to_end_efficiency,0.07033898305084746,511.7591462662203
launch_cost_gbp_per_kg,188.8135593220339,end_to_end_efficiency,0.07033898305084746,596.3047556232162
launch_cost_gbp_per_kg,273.22033898305085,end_to_end_efficiency,0.07033898305084746,680.8503649802122
launch_cost_gbp_per_kg,357.6271186440678,end_to_end_efficiency,0.07033898305084746,765.3959743372083
launch_cost_gbp_per_kg,442.0338983050848,end_to_end_efficiency,0.07033898305084746,849.9415836942044
launch_cost_gbp_per_kg,526.4406779661017,end_to_end_efficiency,0.07033898305084746,934.4871930512003
launch_cost_gbp_per_kg,610.8474576271187,end_to_end_efficiency,0.07033898305084746,1019.0328024081963
launch_cost_gbp_per_kg,695.2542372881356,end_to_end_efficiency,0.07033898305084746,1103.5784117651924
launch_cost_gbp_per_kg,779.6610169491526,end_to_end_efficiency,0.07033898305084746,1188.1240211221882
launch_cost_gbp_per_kg,864.0677966101696,end_to_end_efficiency,0.07033898305084746,1272.6696304791844
launch_cost_gbp_per_kg,948.4745762711865,end_to_end_efficiency,0.07033898305084746,1357.2152398361802
launch_cost_gbp_per_kg,1032.8813559322034,end_to_end_efficiency,0.07033898305084746,1441.760849193176
launch_cost_gbp_per_kg,1117.2881355932204,end_to_end_efficiency,0.07033898305084746,1526.306458550172
launch_cost_gbp_per_kg,1201.6949152542375,end_to_end_efficiency,0.07033898305084746,1610.8520679071682
launch_cost_gbp_per_kg,1286.1016949152543,end_to_end_efficiency,0.07033898305084746,1695.397677264164
launch_cost_gbp_per_kg,1370.5084745762713,end_to_end_efficiency,0.07033898305084746,1779.94328662116
launch_cost_gbp_per_kg,1454.9152542372883,end_to_end_efficiency,0.07033898305084746,1864.4888959781565
launch_cost_gbp_per_kg,1539.322033898305,end_to_end_efficiency,0.07033898305084746,1949.0345053351518
launch_cost_gbp_per_kg,1623.7288135593221,end_to_end_efficiency,0.07033898305084746,2033.580114692148
launch_cost_gbp_per_kg,1708.1355932203392,end_to_end_efficiency,0.07033898305084746,2118.1257240491445
launch_cost_gbp_per_kg,1792.542372881356,end_to_end_efficiency,0.07033898305084746,2202.6713334061396
launch_cost_gbp_per_kg,1876.949152542373,end_to_end_efficiency,0.07033898305084746,2287.216942763136
launch_cost_gbp_per_kg,1961.35593220339,end_to_end_efficiency,0.07033898305084746,2371.7625521201317
launch_cost_gbp_per_kg,2045.7627118644068,end_to_end_efficiency,0.07033898305084746,2456.3081614771277
launch_cost_gbp_per_kg,2130.169491525424,end_to_end_efficiency,0.07033898305084746,2540.853770834124
launch_cost_gbp_per_kg,2214.576271186441,end_to_end_efficiency,0.07033898305084746,2625.3993801911197
launch_cost_gbp_per_kg,2298.983050847458,end_to_end_efficiency,0.07033898305084746,2709.9449895481157
launch_cost_gbp_per_kg,2383.389830508475,end_to_end_efficiency,0.07033898305084746,2794.4905989051117
launch_cost_gbp_per_kg,2467.7966101694915,end_to_end_efficiency,0.07033898305084746,2879.0362082621077
launch_cost_gbp_per_kg,2552.2033898305085,end_to_end_efficiency,0.07033898305084746,2963.5818176191037
launch_cost_gbp_per_kg,2636.6101694915255,end_to_end_efficiency,0.07033898305084746,3048.1274269760993
launch_cost_gbp_per_kg,2721.0169491525426,end_to_end_efficiency,0.07033898305084746,3132.6730363330958
launch_cost_gbp_per_kg,2805.4237288135596,end_to_end_efficiency,0.07033898305084746,3217.2186456900918
launch_cost_gbp_per_kg,2889.8305084745766,end_to_end_efficiency,0.07033898305084746,3301.7642550470873
