parameter,display_name,unit,value,lcoe_gbp_per_mwh
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.44,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.4425,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.445,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.4475,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.45,86.02973399903817
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.4,97.62219140921476
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.4045,97.32127471500748
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.40900000000000003,97.02697965954802
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.41350000000000003,96.73909005874182
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.41800000000000004,96.45739903785731
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.42250000000000004,96.18170853576088
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.42700000000000005,95.91182884050018
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.4315,95.64757815394715
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.436,95.38878218340093
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.4405,95.1352737582234
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.445,94.8868924697349
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.4495,94.64348433274003
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.454,94.40490146718338
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.4585,94.17100179855152
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.463,93.94164877574617
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.4675,93.71671110525152
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.47200000000000003,93.49606250050786
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.47650000000000003,93.27958144548649
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.481,93.06715097153622
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.48550000000000004,92.85865844663964
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.49,92.65399537628194
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.4945,92.45305721519264
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.499,92.25574318927332
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5035000000000001,92.06195612707445
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.508,91.87160230022953
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5125,91.68459127229505
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.517,91.50083575548514
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5215000000000001,91.32025147482348
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.526,91.14275703926816
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5305,90.96827381939616
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.535,90.79672583126032
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5395,90.6280396260591
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.544,90.46214418528217
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5485,90.2989708210175
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.553,90.13845308112607
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5575,89.98052665900866
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.562,89.82512930770808
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5665,89.67220075810512
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.571,89.52168264098277
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5755,89.37351841274679
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5800000000000001,89.22765328460412
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5845,89.08403415501283
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.589,88.94260954522856
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.5935,88.80332953778303
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.598,88.66614571774055
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6025,88.53101111658664
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.607,88.39788015861295
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6115,88.26670860966914
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.616,88.1374535281612
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6205,88.01007321818194
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.625,87.88452718466641
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6295,87.7607760904704
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.634,87.63878171527719
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6385000000000001,87.51850691624175
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.643,87.39991559028763
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6475,87.28297263797619
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.652,87.16764392887144
dc_to_rf_efficiency,DC-to-RF efficiency,fraction,0.6565000000000001,87.05389626833023
